Municipio;Branca;Preta;Parda;Indigena;Ignorado;Amarela;Total;Ano
410100 AMPERE;2;0;0;0;0;;2;2021
410105 ANAHY;1;0;0;0;0;;1;2021
410200 ASSIS CHATEAUBRIAND;3;0;1;0;1;;5;2021
410260 BARRACAO;1;0;0;0;0;;1;2021
410275 BELA VISTA DA CAROBA;1;0;0;0;0;;1;2021
410345 CAFELANDIA;2;0;0;0;0;;2;2021
410450 CAPANEMA;3;0;0;0;0;;3;2021
410480 CASCAVEL;26;3;4;0;0;;33;2021
410500 CATANDUVAS;2;0;0;0;0;;2;2021
410540 CHOPINZINHO;2;0;2;0;0;;4;2021
410570 CLEVELANDIA;4;0;1;0;0;;5;2021
410630 CORBELIA;3;0;0;0;0;;3;2021
410645 CORONEL DOMINGOS SOARES;1;0;0;0;0;;1;2021
410650 CORONEL VIVIDA;7;0;0;0;0;;7;2021
410657 CRUZEIRO DO IGUACU;1;0;0;0;0;;1;2021
410712 DIAMANTE DO SUL;2;0;0;0;0;;2;2021
410715 DIAMANTE D'OESTE;1;0;0;0;0;;1;2021
410720 DOIS VIZINHOS;4;0;0;0;0;;4;2021
410740 ENEAS MARQUES;0;0;1;0;0;;1;2021
410753 ENTRE RIOS DO OESTE;1;0;1;0;0;;2;2021
410785 FLOR DA SERRA DO SUL;1;0;0;0;0;;1;2021
410820 FORMOSA DO OESTE;1;0;0;0;0;;1;2021
410830 FOZ DO IGUACU;31;1;13;0;2;;47;2021
410840 FRANCISCO BELTRAO;11;0;2;0;0;;13;2021
410975 IBEMA;1;0;1;0;0;;2;2021
411005 IGUATU;0;0;0;0;1;;1;2021
411120 ITAPEJARA D'OESTE;1;0;1;0;0;;2;2021
411345 LINDOESTE;1;0;0;0;0;;1;2021
411440 MANGUEIRINHA;5;0;0;0;0;;5;2021
411460 MARECHAL CANDIDO RONDON;6;0;1;0;0;;7;2021
411540 MARMELEIRO;3;0;1;0;0;;4;2021
411560 MATELANDIA;3;0;0;0;2;;5;2021
411580 MEDIANEIRA;5;0;2;0;0;;7;2021
411585 MERCEDES;1;0;0;0;0;;1;2021
411605 MISSAL;2;0;0;0;0;;2;2021
411670 NOVA AURORA;0;0;1;0;0;;1;2021
411745 OURO VERDE DO OESTE;1;0;0;0;0;;1;2021
411760 PALMAS;4;0;3;1;0;;8;2021
411790 PALOTINA;5;0;0;0;0;;5;2021
411845 PATO BRAGADO;2;0;0;0;0;;2;2021
411850 PATO BRANCO;12;0;2;0;1;;15;2021
411980 PLANALTO;2;0;0;0;0;;2;2021
412090 QUEDAS DO IGUACU;5;0;0;0;0;;5;2021
412125 RAMILANDIA;1;0;0;0;0;;1;2021
412140 REALEZA;1;0;0;0;0;;1;2021
412300 SALTO DO LONTRA;2;0;0;0;0;;2;2021
412350 SANTA HELENA;4;0;1;1;0;;6;2021
412380 SANTA IZABEL DO OESTE;2;0;1;0;0;;3;2021
412382 SANTA LUCIA;1;0;0;0;0;;1;2021
412402 SANTA TEREZA DO OESTE;3;0;0;0;0;;3;2021
412405 SANTA TEREZINHA DE ITAIPU;5;0;0;0;0;;5;2021
412440 SANTO ANTONIO DO SUDOESTE;1;0;0;0;0;;1;2021
412480 SAO JOAO;5;0;0;0;0;;5;2021
412520 SAO JORGE D'OESTE;2;0;0;0;0;;2;2021
412570 SAO MIGUEL DO IGUACU;1;0;2;0;0;;3;2021
412575 SAO PEDRO DO IGUACU;1;0;0;0;0;;1;2021
412627 SAUDADE DO IGUACU;2;0;1;0;0;;3;2021
412635 SERRANOPOLIS DO IGUACU;1;0;0;0;0;;1;2021
412770 TOLEDO;12;4;1;0;1;;18;2021
412785 TRES BARRAS DO PARANA;1;0;0;0;0;;1;2021
412860 VERE;1;0;0;0;0;;1;2021
410100 AMPERE;2;0;0;0;0;;2;2014
410200 ASSIS CHATEAUBRIAND;2;0;1;0;1;;4;2014
410260 BARRACAO;1;0;0;0;0;;1;2014
410305 BOA VISTA DA APARECIDA;1;0;0;0;0;;1;2014
410315 BOM JESUS DO SUL;1;0;1;0;0;;2;2014
410322 BOM SUCESSO DO SUL;1;0;0;0;0;;1;2014
410345 CAFELANDIA;2;0;0;0;0;;2;2014
410405 CAMPO BONITO;1;0;0;0;0;;1;2014
410450 CAPANEMA;1;0;1;0;0;;2;2014
410460 CAPITAO LEONIDAS MARQUES;1;0;0;0;0;;1;2014
410480 CASCAVEL;41;1;3;0;4;;49;2014
410500 CATANDUVAS;5;0;0;0;0;;5;2014
410530 CEU AZUL;2;0;0;0;0;;2;2014
410540 CHOPINZINHO;3;0;0;0;0;;3;2014
410570 CLEVELANDIA;4;0;3;0;0;;7;2014
410630 CORBELIA;3;0;0;0;1;;4;2014
410645 CORONEL DOMINGOS SOARES;2;0;0;0;0;;2;2014
410650 CORONEL VIVIDA;4;0;0;0;0;;4;2014
410657 CRUZEIRO DO IGUACU;2;0;0;0;0;;2;2014
410715 DIAMANTE D'OESTE;1;0;0;0;0;;1;2014
410720 DOIS VIZINHOS;6;0;0;0;0;;6;2014
410740 ENEAS MARQUES;2;0;0;0;0;;2;2014
410820 FORMOSA DO OESTE;1;0;0;0;0;;1;2014
410830 FOZ DO IGUACU;54;0;7;0;0;;61;2014
410840 FRANCISCO BELTRAO;10;0;1;0;0;;11;2014
410880 GUAIRA;5;0;2;0;2;;9;2014
410930 GUARANIACU;2;0;0;0;0;;2;2014
410965 HONORIO SERPA;0;0;0;0;1;;1;2014
410975 IBEMA;0;0;1;0;0;;1;2014
411095 ITAIPULANDIA;2;0;1;0;0;;3;2014
411120 ITAPEJARA D'OESTE;0;0;1;0;0;;1;2014
411275 JESUITAS;2;0;0;0;0;;2;2014
411440 MANGUEIRINHA;3;0;2;0;0;;5;2014
411460 MARECHAL CANDIDO RONDON;4;0;0;0;1;;5;2014
411530 MARIOPOLIS;2;0;0;0;0;;2;2014
411535 MARIPA;1;0;0;0;0;;1;2014
411540 MARMELEIRO;5;0;0;0;1;;6;2014
411560 MATELANDIA;2;0;1;0;0;;3;2014
411580 MEDIANEIRA;6;0;1;0;0;;7;2014
411585 MERCEDES;2;0;0;0;0;;2;2014
411670 NOVA AURORA;4;0;0;0;0;;4;2014
411722 NOVA SANTA ROSA;1;0;1;0;0;;2;2014
411745 OURO VERDE DO OESTE;2;0;0;0;0;;2;2014
411760 PALMAS;8;1;2;0;1;;12;2014
411790 PALOTINA;3;0;1;0;0;;4;2014
411845 PATO BRAGADO;2;0;0;0;0;;2;2014
411850 PATO BRANCO;17;0;1;0;0;;18;2014
411925 PINHAL DE SAO BENTO;1;0;0;0;0;;1;2014
411980 PLANALTO;2;0;0;0;0;;2;2014
412035 PRANCHITA;1;0;0;0;1;;2;2014
